k, dt, reward
1, 0.1, -1270917.0522448036, 452924.35657368874
1, 0.075, -30928.217654153723, 4563.656872878289
1, 0.05, -14397.50841863872, 1673.3872385991804
1, 0.025, -105830.96233101287, 34804.39674439732
1, 0.01, -229.15979292372407, 122.16289677324487
1, 0.0075, -226.158466412491, 117.27375648085358
2, 0.1, -43447.18674405579, 3541.6004575584434
2, 0.075, -32722.454417610348, 6316.180427440367
2, 0.05, -14824.649933272547, 2258.9152495125486
2, 0.025, -7812.444590972108, 3675.1200760901643
2, 0.01, -50.51020781200708, 12.566522373659023
2, 0.0075, -61.81372454136315, 17.288184423322008
3, 0.1, -64423.94484878054, 7613.523611863424
3, 0.075, -89274.11591375525, 55166.2073372286
3, 0.05, -13079.297380239308, 1382.2080816048356
3, 0.025, -2524.0317706592095, 870.7324284339057
3, 0.01, -40.95792156471694, 4.1560902247655385
3, 0.0075, -49.152214471131366, 4.650807822028735
4, 0.1, -83233.46634033919, 10661.050650642606
4, 0.075, -121482.80289824714, 126367.00902560871
4, 0.05, -23524.480476183544, 3846.420740360492
4, 0.025, -2419.134007699452, 1300.701048888548
4, 0.01, -38.293215563303235, 3.1199301223969256
4, 0.0075, -45.57409971626793, 3.5505187250842867
