dt, centralized, reward
0.1, True, -59889.33630689392, 929.1649165693375
0.1, False, -189402.46914413854, 21044.093804338474
0.075, True, -31807.67350082144, 224.30576245420792
0.075, False, -108914.14745636014, 17015.96881208654
0.05, True, -13173.11445346924, 72.96319668105578
0.05, False, -29632.11862055091, 5781.989300153512
0.025, True, -3147.2376625646857, 2.534888983669798
0.025, False, -9306.91341130534, 908.9434398151692
0.01, True, -14.899697200560103, 1.8157149806086754
0.01, False, -6535.8762397044575, 554.0006754735136
0.0075, True, -19.53691068723764, 2.205459220088043
0.0075, False, -6292.478492341895, 533.2987085219571
