n_layers, hidden_size, reward
1, 4, -276.82078391232966, 64.29987962788128
1, 8, -117.08710312156381, 43.270671367306626
1, 16, -61.03456490238341, 14.140745828045532
1, 32, -36.13962443213741, 3.0798684637230522
1, 64, -31.05390727777222, 2.10786356396021
1, 128, -48.76131344797435, 2.037034383138412
2, 4, -269.382749890559, 78.82907067281965
2, 8, -171.02713416748716, 52.41214606794095
2, 16, -59.9277702649744, 14.771392137187954
2, 32, -40.95792156471694, 4.1560902247655385
2, 64, -31.700934519085287, 3.077514236703468
2, 128, -45.93426070960081, 8.625290439145136
3, 4, -1619.2879423585034, 258.56136124922637
3, 8, -198.44929262433703, 58.968542460814064
3, 16, -102.47049217642862, 42.928379013488964
3, 32, -42.760629061376925, 6.136905519439495
3, 64, -36.02397189682316, 11.074362519579216
3, 128, -65.32106296773641, 33.16110632000706
