centralized, n_agents, reward
True, 25, -28.363746468002706, 6.456637188954312
True, 50, -21.189087350417914, 4.914202107841018
True, 75, -17.578174984474465, 3.725134289661792
True, 100, -14.899697200560103, 1.8157149806086754
True, 125, -14.497312413551816, 1.857963983379794
True, 150, -13.436401447590432, 1.508457092067479
False, 25, -4674.500102991744, 1087.290091768198
False, 50, -5414.270146056273, 1222.4711829412147
False, 75, -6172.847920185132, 791.1410941872234
False, 100, -6535.8762397044575, 554.0006754735136
False, 125, -7694.822410082497, 522.970998376011
False, 150, -8332.014326499273, 589.4615515522688
