k, seed, comm_radius, reward
1, 0, 3.0, -37.491498766557434
1, 0, 2.0, -42.84990130576308
1, 0, 1.5, -55.50036413485854
1, 0, 1.0, -121.07313260613532
1, 1, 3.0, -37.0616881888462
1, 1, 2.0, -43.39376433231521
1, 1, 1.5, -66.66733366352024
1, 1, 1.0, -123.78980298255146
1, 2, 3.0, -38.2224613883912
1, 2, 2.0, -42.85266683686081
1, 2, 1.5, -56.63054713979519
1, 2, 1.0, -126.59424346294017
1, 3, 3.0, -39.36917877347961
1, 3, 2.0, -44.89228596411046
1, 3, 1.5, -59.14814990726886
1, 3, 1.0, -114.401240630129
1, 4, 3.0, -37.591617409717585
1, 4, 2.0, -42.615154865583364
1, 4, 1.5, -56.098917339676426
1, 4, 1.0, -122.23290320753419
1, 5, 3.0, -37.35903830578901
1, 5, 2.0, -40.46041511782361
1, 5, 1.5, -56.07803421963998
1, 5, 1.0, -123.00795663415064
1, 6, 3.0, -39.01174635584222
1, 6, 2.0, -44.603903128803815
1, 6, 1.5, -61.08108857316031
1, 6, 1.0, -122.29806081600377
1, 7, 3.0, -40.08562312237737
1, 7, 2.0, -43.57495218666612
1, 7, 1.5, -60.93432917304845
1, 7, 1.0, -114.43448310349814
1, 8, 3.0, -37.97891954493586
1, 8, 2.0, -43.502285442598875
1, 8, 1.5, -57.335472787361745
1, 8, 1.0, -113.48317130116342
1, 9, 3.0, -36.783447534546966
1, 9, 2.0, -40.89690617859127
1, 9, 1.5, -59.21927775575673
1, 9, 1.0, -118.52780617638048
2, 0, 3.0, -38.66765211513617
2, 0, 2.0, -39.48440024903481
2, 0, 1.5, -42.14351246675639
2, 0, 1.0, -63.13926183601833
2, 1, 3.0, -38.093003347761936
2, 1, 2.0, -39.62955083488811
2, 1, 1.5, -45.885581879276316
2, 1, 1.0, -66.50663979738957
2, 2, 3.0, -38.596837339820794
2, 2, 2.0, -40.663223000405765
2, 2, 1.5, -44.63662087625239
2, 2, 1.0, -60.88796211757708
2, 3, 3.0, -39.438269212208105
2, 3, 2.0, -41.61233124984111
2, 3, 1.5, -45.38565126517011
2, 3, 1.0, -60.3764537841303
2, 4, 3.0, -39.39523235637678
2, 4, 2.0, -40.326519820030484
2, 4, 1.5, -43.3578603647687
2, 4, 1.0, -61.6326310165468
2, 5, 3.0, -37.907803707105764
2, 5, 2.0, -39.17167574983604
2, 5, 1.5, -43.05120326439531
2, 5, 1.0, -65.04349317414051
2, 6, 3.0, -39.59581631079186
2, 6, 2.0, -41.39288444694158
2, 6, 1.5, -46.09023415049709
2, 6, 1.0, -59.19324505868413
2, 7, 3.0, -40.228175675244074
2, 7, 2.0, -42.135585620572144
2, 7, 1.5, -45.214062213430665
2, 7, 1.0, -63.83222254431031
2, 8, 3.0, -38.73018181062474
2, 8, 2.0, -39.99012925258564
2, 8, 1.5, -44.65113947293513
2, 8, 1.0, -68.28923876532384
2, 9, 3.0, -37.49930765729976
2, 9, 2.0, -38.28311911157116
2, 9, 1.5, -40.98024010948062
2, 9, 1.0, -65.18425387559125
3, 0, 3.0, -37.95519850678217
3, 0, 2.0, -39.87712781286615
3, 0, 1.5, -41.47358919039873
3, 0, 1.0, -49.69060205897151
3, 1, 3.0, -37.77438357658117
3, 1, 2.0, -39.473200993873846
3, 1, 1.5, -41.55686179567656
3, 1, 1.0, -50.9360254908897
3, 2, 3.0, -37.71641696569042
3, 2, 2.0, -39.329513515122514
3, 2, 1.5, -42.20261303798754
3, 2, 1.0, -50.62838666466007
3, 3, 3.0, -38.966000791392005
3, 3, 2.0, -41.10592656502343
3, 3, 1.5, -42.6729482647323
3, 3, 1.0, -51.32918910071347
3, 4, 3.0, -39.06912623415365
3, 4, 2.0, -39.33446684951947
3, 4, 1.5, -40.8177393942489
3, 4, 1.0, -48.38200117646845
3, 5, 3.0, -37.33963363543093
3, 5, 2.0, -38.723819030302835
3, 5, 1.5, -40.53065330959222
3, 5, 1.0, -52.71349871488901
3, 6, 3.0, -38.45336112798087
3, 6, 2.0, -39.60997788448563
3, 6, 1.5, -42.344186232709816
3, 6, 1.0, -47.16845426864009
3, 7, 3.0, -39.837780458382646
3, 7, 2.0, -41.22194821017382
3, 7, 1.5, -43.566764846548814
3, 7, 1.0, -52.51884864746201
3, 8, 3.0, -38.255675656711034
3, 8, 2.0, -39.007748509986975
3, 8, 1.5, -40.375563442773306
3, 8, 1.0, -48.336108827340624
3, 9, 3.0, -37.08832361643493
3, 9, 2.0, -37.60129470626181
3, 9, 1.5, -39.22773073900786
3, 9, 1.0, -54.07305373869781
4, 0, 3.0, -37.81573726702108
4, 0, 2.0, -39.16680238886852
4, 0, 1.5, -40.8314210552965
4, 0, 1.0, -52.98222912866629
4, 1, 3.0, -37.666539114015784
4, 1, 2.0, -38.527483611505374
4, 1, 1.5, -39.707423361687816
4, 1, 1.0, -47.512381149483225
4, 2, 3.0, -37.7368108089063
4, 2, 2.0, -39.76847166075371
4, 2, 1.5, -40.9222707724514
4, 2, 1.0, -47.75676185303736
4, 3, 3.0, -39.113221419259176
4, 3, 2.0, -41.05300168784106
4, 3, 1.5, -42.837559957789395
4, 3, 1.0, -48.89390029097031
4, 4, 3.0, -38.049070850692615
4, 4, 2.0, -39.439726177218915
4, 4, 1.5, -40.94119835424435
4, 4, 1.0, -46.94629066155978
4, 5, 3.0, -37.1200317269892
4, 5, 2.0, -38.54758514494837
4, 5, 1.5, -39.96176768078935
4, 5, 1.0, -48.73571376577766
4, 6, 3.0, -38.65205859673788
4, 6, 2.0, -39.91967431564085
4, 6, 1.5, -41.88429540724517
4, 6, 1.0, -46.17734057260559
4, 7, 3.0, -39.657823455433245
4, 7, 2.0, -41.088777042259416
4, 7, 1.5, -42.53219590804792
4, 7, 1.0, -49.792697135769785
4, 8, 3.0, -38.09212712943694

