comm_radius, centralized, reward
True, 4.0, -13.9834284252706, 1.8111342628863647
False, 4.0, -17.90172953618245, 2.4269465985733905
True, 3.0, -14.024036847128665, 1.786227064984601
False, 3.0, -27.300532671593267, 3.437283584463457
True, 2.5, -14.255542008190947, 1.776702098164838
False, 2.5, -43.0064103662455, 4.433323210617722
True, 2.0, -14.538311983554106, 1.7718423038592899
False, 2.0, -102.62622761650303, 7.421507797923986
True, 1.5, -14.810441187316304, 1.7669888441661243
False, 1.5, -1055.212676867627, 136.01985599791774
True, 1.0, -14.899697200560103, 1.8157149806086754
False, 1.0, -6535.8762397044575, 554.0006754735136
