k, n_agents, reward
1, 25, -467.50031621733535, 241.41963891813725
1, 50, -293.33805060432996, 164.17301017860837
1, 75, -245.18434140072927, 101.01946419994923
1, 100, -211.8185744346199, 89.71329810717039
1, 125, -238.1884851314378, 87.03912962232499
1, 150, -261.4715757490662, 101.69818867730366
2, 25, -175.51982933611325, 180.30535895659156
2, 50, -62.31127473346736, 26.798094863491286
2, 75, -59.48489185408262, 17.124425138275683
2, 100, -56.94927135388282, 7.167000546613799
2, 125, -67.64611450710365, 7.417567621678002
2, 150, -77.55447975171836, 7.018644936466982
3, 25, -159.8038574704746, 222.96931557047196
3, 50, -49.77955376716527, 15.52468386329234
3, 75, -51.60049625646254, 4.980990119976162
3, 100, -55.40762555237633, 4.77984267242477
3, 125, -63.66773489689151, 4.120131037464811
3, 150, -72.4647615367384, 4.4410649014289545
4, 25, -158.87044514169494, 217.93444150167556
4, 50, -46.60486896016996, 12.797097903567352
4, 75, -47.37457048696233, 4.787534468844787
4, 100, -50.91185313390158, 4.6560426710733465
4, 125, -57.948258219856356, 4.403049030389021
4, 150, -64.97832451813721, 4.217000342999143
