v_max, seed, controller, reward
0.5, 0, True, -24.457840383379477
0.5, 0, False, -2712.21489603626
0.5, 1, True, -24.454662724444823
0.5, 1, False, -2749.9476886952903
0.5, 2, True, -24.470115587108623
0.5, 2, False, -2749.6166707958832
0.5, 3, True, -23.881553181025254
0.5, 3, False, -2628.8014960588434
0.5, 4, True, -24.436477955151553
0.5, 4, False, -2628.4775465787857
0.5, 5, True, -24.17546960778271
0.5, 5, False, -2695.432366091841
0.5, 6, True, -24.218009492062315
0.5, 6, False, -2725.0499654923033
0.5, 7, True, -23.730376928399963
0.5, 7, False, -2612.624998472293
0.5, 8, True, -24.49181050815789
0.5, 8, False, -2709.030531547748
0.5, 9, True, -24.15813824243572
0.5, 9, False, -2704.4540153167727
1.5, 0, True, -25.894167073927584
1.5, 0, False, -2840.3086007688657
1.5, 1, True, -26.387220189656453
1.5, 1, False, -2898.846726316966
1.5, 2, True, -25.88923276725459
1.5, 2, False, -2855.6252200236654
1.5, 3, True, -25.030017676180048
1.5, 3, False, -2805.1017585117247
1.5, 4, True, -25.62598315342202
1.5, 4, False, -2754.720200267552
1.5, 5, True, -25.552678624197792
1.5, 5, False, -2840.600042588684
1.5, 6, True, -25.52344741207319
1.5, 6, False, -2862.660203892344
1.5, 7, True, -25.446568738304144
1.5, 7, False, -2747.931040061814
1.5, 8, True, -25.687093855777885
1.5, 8, False, -2858.9862639539656
1.5, 9, True, -26.146360012218953
1.5, 9, False, -2845.4996143650255
2.5, 0, True, -30.0365346163067
2.5, 0, False, -3149.7269224516135
2.5, 1, True, -30.881685931031456
2.5, 1, False, -3216.490829081968
2.5, 2, True, -30.10666581140623
2.5, 2, False, -3158.094720570437
2.5, 3, True, -29.057653956320603
2.5, 3, False, -3113.8193427361443
2.5, 4, True, -29.733135158451017
2.5, 4, False, -3038.362383796916
2.5, 5, True, -30.1266095819663
2.5, 5, False, -3107.0692587566436
2.5, 6, True, -29.467624502057124
2.5, 6, False, -3109.9045271151444
2.5, 7, True, -29.535233209330734
2.5, 7, False, -3045.8291886394945
2.5, 8, True, -29.767673669462066
2.5, 8, False, -3194.9030653580658
2.5, 9, True, -30.81943392565781
2.5, 9, False, -3176.1861420861346
3.5, 0, True, -39.01442910284037
3.5, 0, False, -3603.193628654233
3.5, 1, True, -39.80169617065576
3.5, 1, False, -3643.2530396276475
3.5, 2, True, -39.224847977790816
3.5, 2, False, -3597.8107154078943
3.5, 3, True, -37.419973617827765
3.5, 3, False, -3610.0703516173767
3.5, 4, True, -38.70514427689691
3.5, 4, False, -3553.348087009597
3.5, 5, True, -39.45813602922706
3.5, 5, False, -3564.449114769372
3.5, 6, True, -37.60702177682275
3.5, 6, False, -3550.7052627888647
3.5, 7, True, -38.3225195946037
3.5, 7, False, -3598.645740248767
3.5, 8, True, -38.68305487211867
3.5, 8, False, -3629.692080538893
3.5, 9, True, -39.83737981801737
3.5, 9, False, -3593.6018936146015
