v_max, centralized, reward
0.5, True, -18.580038273049137, 4.539757399880614
0.5, False, -1376.6235563875605, 142.34029308186106
1.5, True, -19.703602717582474, 5.5313632771070145
1.5, False, -1446.1891284850594, 151.5717522042589
2.5, True, -22.720162590554487, 7.408208148906307
2.5, False, -1546.4426774977721, 146.5192913323776
3.5, True, -28.52304848029659, 9.663724624738105
3.5, False, -1746.7223963411675, 209.03313678285252
4.5, True, -38.079165228131714, 12.361136344718238
4.5, False, -2045.851881186671, 279.77188921373244
